"","Long","Lat","texture_class","clay_content","bulk_density","aluminium_extractable","carbon_total","calcium_extractable","cation_exchange_capacity","iron_extractable","potassium_extractable","magnesium_extractable","nitrogen_total","carbon_organic","phosphorous_extractable","sulphur_extractable","zinc_extractable","ph","sand_content","silt_content","stone_content"
"2435",3.21652,8.41285,"Sandy Loam",16,1.21,133.3,19.1,491.7,5.7,80.5,80.5,108.9,1,8,8,5.7,1.5,6.1,62,20,2.7
"2436",3.26417,8.41285,"Sandy Loam",12,1.2,133.3,15.4,491.7,5.7,65.7,80.5,120.5,0.8,8,7.2,5.7,1.7,6.1,70,17,5
"2437",3.31183,8.41285,"Sandy Loam",15,1.19,108.9,13.9,543.6,7.2,72.7,72.7,120.5,0.8,7.2,8,5.7,1.5,6.1,61,18,3.1
"2438",3.35948,8.41285,"Sandy Loam",14,1.21,108.9,17.2,543.6,7.2,72.7,80.5,133.3,0.9,8,8,5,1.7,6.1,60,17,2
"2439",3.40713,8.41285,"Sandy Loam",13,1.2,120.5,17.2,543.6,7.2,65.7,80.5,108.9,0.9,7.2,8,5,1.7,6.2,64,17,4
"2440",3.46075,8.41242,"Sandy Loam",13,1.24,133.3,13.9,543.6,5,72.7,80.5,98.5,0.9,8,8,5,1.7,6.1,70,14,5
"2441",3.50243,8.41285,"Sandy Loam",16,1.19,147.4,15.4,491.7,5.7,65.7,80.5,108.9,1,7.2,8,5.7,1.7,6.1,68,17,6.4
"2442",3.55008,8.41285,"Sandy Loam",13,1.22,133.3,13.9,444.9,5.7,72.7,80.5,120.5,0.9,8,8,5,2,6.2,62,17,4
"2443",3.59773,8.41285,"Sandy Clay Loam",22,1.21,120.5,23.5,297.9,7.2,72.7,65.7,108.9,1.7,9,9,7.2,1.5,5.8,58,15,2.3
"2444",3.64539,8.41285,"Sandy Clay Loam",25,1.24,147.4,21.2,444.9,7.2,65.7,72.7,89,2.1,10,10,7.2,2,5.8,57,14,2.7
"2445",3.69304,8.41285,"Sandy Clay Loam",23,1.26,147.4,23.5,402.4,7.2,65.7,65.7,80.5,2.1,9,9,6.4,2,5.8,58,16,2.7
"2446",3.74069,8.41285,"Sandy Loam",18,1.25,180.3,21.2,329.3,6.4,65.7,65.7,80.5,1.9,9,8,6.4,1.7,5.8,60,15,3.5
"2447",3.78834,8.41285,"Sandy Loam",20,1.24,147.4,15.4,364,7.2,72.7,72.7,98.5,1.7,8,9,7.2,1.5,5.9,58,19,2.7
"2448",3.83599,8.41285,"Sandy Loam",17,1.22,147.4,19.1,364,6.4,72.7,72.7,108.9,1.5,8,10,6.4,1.7,5.9,60,18,3.1
"2449",3.88364,8.41285,"Sandy Loam",17,1.23,147.4,19.1,329.3,6.4,65.7,65.7,98.5,1.7,8,10,6.4,1.7,5.9,58,20,2
"2450",3.93129,8.41285,"Sandy Loam",18,1.25,163,19.1,402.4,6.4,65.7,72.7,89,1.6,8,9,7.2,1.5,5.9,61,19,3.1
"2451",3.97894,8.41285,"Sandy Clay Loam",22,1.25,163,21.2,297.9,6.4,65.7,59.3,80.5,2,10,9,7.2,2.3,5.8,56,16,2.7
"2452",4.00735,8.41285,"Sandy Loam",19,1.23,147.4,21.2,402.4,6.4,65.7,65.7,89,1.7,10,9,6.4,2.7,5.9,58,15,2.3
"2453",4.07425,8.41285,"Sandy Loam",14,1.2,133.3,17.2,444.9,5,72.7,72.7,89,0.9,8,8,6.4,1.7,6,68,19,4
"2454",4.1219,8.41285,"Sandy Loam",16,1.23,147.4,19.1,402.4,5,65.7,72.7,72.7,1.3,7.2,8,5.7,1.7,6,64,16,3.5
"2455",4.16955,8.41285,"Sandy Loam",14,1.26,108.9,17.2,543.6,5,65.7,72.7,98.5,0.8,7.2,8,5,1.7,6.1,65,17,3.5
"2456",4.21471,8.40643,"Sandy Loam",12,1.28,147.4,13.9,491.7,5,65.7,80.5,89,0.9,7.2,8,5,2,6.1,72,15,5
"2457",4.26485,8.41285,"Sandy Loam",12,1.22,108.9,13.9,491.7,5,72.7,80.5,108.9,0.8,7.2,8,5.7,1.7,6,70,17,4
"2458",4.3125,8.41285,"Sandy Loam",14,1.21,133.3,19.1,491.7,5.7,80.5,72.7,89,1.2,8,8,5.7,1.5,5.9,60,19,1.7
"2459",2.78766,8.45985,"Sandy Loam",18,1.25,147.4,17.2,402.4,5.7,72.7,72.7,89,1.4,8,7.2,5.7,1.2,5.9,58,19,2
"2460",2.83531,8.45985,"Sandy Loam",17,1.26,163,17.2,364,5.7,89,72.7,89,1.5,8,7.2,5.7,1.2,5.9,58,20,1.5
"2461",2.87689,8.46412,"Sandy Loam",16,1.24,180.3,15.4,402.4,6.4,72.7,72.7,89,1.4,8,8,5.7,1,5.9,64,18,2
"2462",2.93062,8.45985,"Sandy Loam",13,1.24,147.4,15.4,402.4,6.4,89,65.7,108.9,1.2,8,8,5.7,1.5,5.9,65,18,1.5
"2463",2.97827,8.45985,"Sandy Loam",13,1.22,120.5,17.2,402.4,4.5,72.7,65.7,98.5,1,8,8,5.7,1.7,6.1,70,17,2.3
"2464",3.02592,8.45985,"Sandy Loam",16,1.19,133.3,17.2,402.4,5.7,89,72.7,89,1.3,9,7.2,5.7,1.7,5.8,63,18,2.7
"2465",3.07357,8.45985,"Sandy Loam",14,1.2,147.4,13.9,543.6,5.7,72.7,72.7,120.5,1.1,7.2,8,6.4,1.7,6.2,66,17,3.5
"2466",3.12122,8.45985,"Sandy Loam",14,1.21,163,13.9,402.4,5.7,72.7,72.7,98.5,1,8,7.2,5,1.7,6,62,21,3.5
"2467",3.16887,8.45985,"Sandy Loam",14,1.24,133.3,13.9,444.9,6.4,72.7,72.7,98.5,0.9,8,8,5,2,6.1,67,18,3.1
"2468",3.21652,8.45985,"Sandy Loam",14,1.25,133.3,17.2,444.9,5.7,72.7,72.7,108.9,1,8,8,5.7,1.7,6.1,66,17,4.5
"2469",3.26417,8.45985,"Sandy Loam",13,1.26,133.3,17.2,543.6,6.4,65.7,80.5,108.9,0.9,7.2,7.2,5.7,2,6.2,64,15,4.5
"2470",3.31183,8.45985,"Sandy Loam",13,1.21,108.9,15.4,491.7,5.7,80.5,80.5,108.9,0.9,7.2,10,5,1.7,6.1,62,19,2.3
"2471",3.35948,8.45985,"Sandy Loam",11,1.23,147.4,13.9,491.7,6.4,72.7,80.5,120.5,0.8,7.2,8,5,1.7,6.1,70,15,5
"2472",3.40713,8.45985,"Sandy Loam",18,1.22,120.5,17.2,543.6,6.4,89,80.5,108.9,1,9,10,5.7,1.7,5.9,54,19,2.3
"2473",3.45478,8.45985,"Sandy Loam",14,1.21,120.5,15.4,543.6,6.4,72.7,89,98.5,0.9,6.4,8,5,1.7,6.2,59,19,3.5
"2474",3.50243,8.45985,"Sandy Loam",15,1.21,147.4,17.2,543.6,5.7,65.7,80.5,120.5,0.9,8,8,5.7,1.7,6.1,67,16,5
"2475",3.55008,8.45985,"Sandy Loam",13,1.24,133.3,13.9,491.7,5.7,72.7,89,98.5,0.9,8,8,5,1.7,6.1,67,17,5
"2476",3.59773,8.45985,"Sandy Loam",14,1.17,163,13.9,444.9,5.7,72.7,72.7,89,1.4,8,8,6.4,2,6,62,18,3.5
